ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0,0,0,0,1,0.01
ACN,1,0,0,0,0,-0.02
AEP,0,0,0,1,0,0.0
AIZ,0,0,0,1,0,-0.0
ALLE,1,0,0,0,0,-0.01
AMAT,1,0,0,0,0,-0.02
AMP,0,0,0,1,0,0.0
AMZN,0,0,1,0,0,-0.01
AVB,0,0,0,1,0,-0.0
AVY,1,0,0,0,0,-0.01
AXP,0,0,0,0,1,0.01
BDX,0,0,0,0,1,0.01
BF-B,0,1,0,0,0,-0.01
BMY,0,0,0,0,1,0.01
BR,1,0,0,0,0,-0.02
CARR,1,0,0,0,0,-0.02
CDW,0,1,0,0,0,-0.01
CE,0,1,0,0,0,-0.01
CHTR,0,1,0,0,0,-0.01
CNC,0,0,1,0,0,-0.0
CNP,0,0,0,1,0,-0.0
COP,0,0,0,0,1,0.03
CTAS,1,0,0,0,0,-0.02
CZR,1,0,0,0,0,-0.02
DG,1,0,0,0,0,-0.02
DPZ,1,0,0,0,0,-0.03
DRE,1,0,0,0,0,-0.01
DXC,0,0,0,0,1,0.01
FB,1,0,0,0,0,-0.04
FTV,1,0,0,0,0,-0.02
GOOG,0,0,0,1,0,-0.0
GPC,0,1,0,0,0,-0.01
HIG,0,0,0,1,0,0.0
HST,0,0,0,1,0,0.0
JPM,0,0,1,0,0,-0.0
KR,0,0,0,1,0,-0.0
OGN,0,0,0,0,1,0.01
PG,0,0,0,1,0,-0.0
PPL,0,0,1,0,0,-0.0
PRU,0,0,0,0,1,0.01
PYPL,1,0,0,0,0,-0.04
RE,0,0,0,0,1,0.0
ROL,1,0,0,0,0,-0.01
ROST,1,0,0,0,0,-0.02
UNH,0,0,1,0,0,-0.0
URI,0,1,0,0,0,-0.01
V,0,0,0,0,1,0.01
VRSK,1,0,0,0,0,-0.02
WRK,0,0,0,1,0,0.0
XOM,0,0,0,0,1,0.03
IVV,0,0,1,0,0,-0.01
IWM,1,0,0,0,0,-0.01
EWU,0,0,0,0,1,0.0
EWG,0,0,1,0,0,-0.0
EWL,0,1,0,0,0,-0.01
EWQ,0,0,0,1,0,-0.0
IEUS,0,1,0,0,0,-0.01
EWJ,0,0,1,0,0,-0.0
EWT,0,0,1,0,0,-0.0
MCHI,0,0,0,1,0,-0.0
INDA,0,0,0,1,0,-0.0
EWY,0,1,0,0,0,-0.01
EWA,0,1,0,0,0,-0.01
EWH,0,0,0,0,1,0.0
EWZ,0,0,0,0,1,0.01
EWC,0,0,0,1,0,-0.0
IEMG,0,0,0,1,0,-0.0
LQD,0,0,1,0,0,-0.01
HYG,0,0,1,0,0,-0.0
SHY,0,0,0,1,0,-0.0
IEF,0,0,1,0,0,-0.0
TLT,0,1,0,0,0,-0.01
SEGA.L,1,0,0,0,0,-0.02
IEAA.L,0,0,1,0,0,-0.0
HIGH.L,0,0,1,0,0,-0.0
JPEA.L,0,0,1,0,0,-0.0
IAU,0,0,0,1,0,-0.0
SLV,0,0,1,0,0,-0.0
GSG,0,0,0,0,1,0.02
REET,0,1,0,0,0,-0.01
ICLN,1,0,0,0,0,-0.02
IXN,0,1,0,0,0,-0.01
IGF,0,0,0,1,0,-0.0
IUVL.L,0,0,1,0,0,-0.0
IUMO.L,0,1,0,0,0,-0.01
SPMV.L,0,0,1,0,0,-0.01
IEVL.L,0,0,0,0,1,0.0
IEFM.L,0,0,0,0,1,0.11
MVEU.L,0,1,0,0,0,-0.01
XLK,0,1,0,0,0,-0.01
XLF,0,0,0,0,1,0.0
XLV,0,1,0,0,0,-0.01
XLE,0,0,0,0,1,0.02
XLY,0,1,0,0,0,-0.01
XLI,0,0,1,0,0,-0.01
XLC,0,1,0,0,0,-0.01
XLU,0,0,1,0,0,-0.0
XLP,0,0,0,1,0,-0.0
XLB,0,1,0,0,0,-0.01
VXX,0,0,0,0,1,0.05
